Algoritmo,Version,n,Ej_1,Ej_2,Ej_3,Ej_4,Ej_5,PROMEDIO
A1 - Factorial,Iterativo,5,0.005900,0.000500,0.000300,0.000100,0.000200,0.001400
A1 - Factorial,Recursivo,5,0.008300,0.000600,0.000300,0.000200,0.000200,0.001920
A2 - Fibonacci,Iterativo,5,0.003000,0.000400,0.000200,0.000200,0.000200,0.000800
A2 - Fibonacci,Recursivo,5,0.003900,0.000500,0.000400,0.000400,0.000400,0.001120
A1 - Factorial,Iterativo,10,0.001400,0.000200,0.000200,0.000200,0.000200,0.000440
A1 - Factorial,Recursivo,10,0.000900,0.000400,0.000300,0.000300,0.000300,0.000440
A2 - Fibonacci,Iterativo,10,0.000700,0.000300,0.000200,0.000200,0.000200,0.000320
A2 - Fibonacci,Recursivo,10,0.005000,0.010000,0.008300,0.004800,0.004700,0.006560
A1 - Factorial,Iterativo,15,0.000900,0.000300,0.000300,0.000200,0.000200,0.000380
A1 - Factorial,Recursivo,15,0.000800,0.000400,0.000400,0.000800,0.000400,0.000560
A2 - Fibonacci,Iterativo,15,0.001800,0.000500,0.000500,0.000400,0.000500,0.000740
A2 - Fibonacci,Recursivo,15,0.019400,0.004400,0.020600,0.008700,0.005500,0.011720
A1 - Factorial,Iterativo,20,0.000900,0.000400,0.015500,0.000600,0.000300,0.003540
A1 - Factorial,Recursivo,20,0.001500,0.000900,0.000900,0.000700,0.000800,0.000960
A2 - Fibonacci,Iterativo,20,0.001500,0.000700,0.000600,0.000500,0.000600,0.000780
A2 - Fibonacci,Recursivo,20,0.061900,0.042400,0.044900,0.042800,0.032400,0.044880
A1 - Factorial,Iterativo,25,0.001500,0.000400,0.000300,0.000300,0.000300,0.000560
A1 - Factorial,Recursivo,25,0.018000,0.000800,0.000600,0.000600,0.000600,0.004120
A2 - Fibonacci,Iterativo,25,0.000900,0.000600,0.000500,0.000400,0.000500,0.000580
A2 - Fibonacci,Recursivo,25,0.239100,0.251000,0.228600,0.291300,0.223700,0.246740
A1 - Factorial,Iterativo,30,0.001100,0.000400,0.000400,0.000400,0.000300,0.000520
A1 - Factorial,Recursivo,30,0.005500,0.000200,0.000200,0.000200,0.000100,0.001240
A2 - Fibonacci,Iterativo,30,0.001300,0.000600,0.000600,0.000500,0.000500,0.000700
A2 - Fibonacci,Recursivo,30,2.525500,2.455300,2.486800,2.339200,2.397900,2.440940
A3 - Busqueda,Iterativo,100,0.006900,0.001700,0.001500,0.001400,0.001300,0.002560
A3 - Busqueda,Recursivo,100,0.008900,0.004500,0.032000,0.005800,0.005000,0.011240
A4 - Burbuja,Iterativo,100,0.182300,0.167300,0.165900,0.165800,0.177100,0.171680
A4 - Burbuja,Recursivo,100,0.161800,0.168600,0.077900,0.017100,0.016100,0.088300
A3 - Busqueda,Iterativo,500,0.013000,0.013500,0.012000,0.024000,0.005400,0.013580
A3 - Busqueda,Recursivo,500,0.024900,0.002100,0.002000,0.001900,0.001900,0.006560
A4 - Burbuja,Iterativo,500,2.168800,0.576000,0.377900,0.401100,0.403800,0.785520
A4 - Burbuja,Recursivo,500,0.392800,0.370000,0.363300,0.338200,0.383500,0.369560
A3 - Busqueda,Iterativo,1000,0.015700,0.014100,0.013900,0.013900,0.014000,0.014320
A3 - Busqueda,Recursivo,1000,0.031400,0.002600,0.003200,0.002300,0.013700,0.010640
A4 - Burbuja,Iterativo,1000,0.558100,1.308800,1.433100,0.500900,0.430300,0.846240
A4 - Burbuja,Recursivo,1000,1.489200,2.975200,2.560200,0.651900,0.435700,1.622440
A3 - Busqueda,Iterativo,5000,0.074900,0.073300,0.076900,0.073300,0.073300,0.074340
A3 - Busqueda,Recursivo,5000,0.053700,0.005400,0.005300,0.005300,0.005300,0.015000
A4 - Burbuja,Iterativo,5000,8.292200,8.116300,8.311700,8.247200,9.301100,8.453700
A3 - Busqueda,Iterativo,10000,0.163900,0.156000,0.159400,0.138400,0.121300,0.147800
A3 - Busqueda,Recursivo,10000,0.103900,0.010800,0.010700,0.010600,0.010700,0.029340
A4 - Burbuja,Iterativo,10000,32.881900,32.543100,32.472200,31.905200,31.938800,32.348240
